"DMF No",STATUS,"Submission Date","DMF Holder",Molecule
28455,A,7/31/2014,"PIRAMAL ENTERPRISES LTD",BACLOFEN
28456,A,7/01/2014,"KAIYUAN HENGTAI PHARMA CO LTD","TICAGRELOR (CAS: 274693-27-5)"
28457,A,6/23/2014,"HINDUSTAN HERBALS LTD",THIOCOLCHICOSIDE
28458,A,9/16/2014,"CHIROGATE INTERNATIONAL INC",TREPROSTINIL
28460,A,7/21/2014,"ZHEJIANG CANDORLY PHARMACEUTICAL CO LTD","TENOFOVIR DISOPROXIL FUMARATE"
28462,A,7/08/2014,"CURRY MICHAEL MD","ESOMEPRAZOLE MAGNESIUM TRIHYDRATE"
28464,A,6/01/2017,"AMBIOPHARM INC","TERIPARATIDE USP (ACETATE FORM)"
28468,A,7/14/2014,"IRVINE SCIENTIFIC SALES CO","HUMAN SERUM ALBUMIN SOLUTION, PRODUCT #9988"
28469,A,7/11/2014,"IRVINE SCIENTIFIC SALES CO","ISCOVE'S MODIFIED DULBECCO'S MEDIUM - LIQUID"
28470,A,10/31/2014,"TARO PHARMACEUTICAL INDUSTRIES LTD","TAZAROTENE, MICRONIZED"
28471,A,7/31/2014,"INTERQUIM SA",ROFLUMILAST
28472,A,11/20/2014,"JIANGSU HENGRUI MEDICINE CO LTD","CASPOFUNGIN ACETATE"
28473,A,7/07/2014,"NANDU CHEMICALS PVT LTD","SODIUM CHLORIDE USP"
28474,A,9/16/2014,"UNICHEM LABORATORIES LTD","GLIPIZIDE USP"
28475,A,7/25/2014,"INTAS PHARMACEUTICALS LTD","DABIGATRAN ETEXILATE MESYLATE FORM-I"
28479,A,11/20/2014,"YUKI GOSEI KOGYO CO LTD","TRIFLURIDINE "
28483,A,12/19/2014,"IROKO PROPERTIES INC","VIVLODEX® CAPSULES"
28488,A,7/16/2014,"OPTIMUS DRUGS PRIVATE LTD","3-(4-CHLORO-BUTYL)-1H-INDOLE-5-CARBONITRILE (VILAZODONE INTERMEDIATE)"
28490,A,8/08/2014,"AURISCO PHARMACEUTICAL CO LTD",16-ALPHA-HYDROXYPREDNISOLONE
28493,A,9/24/2014,"ALEMBIC PHARMACEUTICALS LTD","VILAZODONE HYDROCHLORIDE "
28494,A,9/30/2014,"ALEMBIC PHARMACEUTICALS LTD","CLONIDINE USP"
28495,A,10/31/2014,"SAI LIFE SCIENCES LTD","PIMOZIDE USP"
28496,A,3/09/2015,"CHENGDU SHENGNUO BIOPHARM CO LTD","ICATIBANT ACETATE"
28500,A,7/22/2014,"SHANGHAI NEW HUALIAN PHARMACEUTICAL CO LTD",HYDROCORTISONE
28501,A,7/27/2014,"BEIJING HUIKANG BOYUAN CHEMICAL TECH CO LTD","BENDAMUSTINE HCl"
28502,A,8/05/2014,"STERLING CHEMICAL MALTA LTD",LEVONORGESTREL
28504,A,7/23/2014,"OPTIMUS DRUGS PRIVATE LTD","5-(PIPERAZIN-1-YL) BENZOFURAN-2-CARBOXAMIDE (VILAZODONE INTERMEDIATE)"
28506,A,7/22/2014,"CHONGQING HUAPONT PHARMACEUTICAL CO LTD",ROFLUMILAST
28507,A,7/14/2014,"ZHEJIANG SUPOR PHARMACEUTICALS CO LTD","TENOFOVIR DISOPROXIL FUMARATE"
28511,A,7/25/2014,"KYONGBO PHARMACEUTICAL CO LTD","IMATINIB MESYLATE"
28512,A,12/03/2014,"ZHEJIANG RUIBANG LABORATORIES INC",CYCLOSPORINE
28516,A,8/27/2014,"HETERO DRUGS LTD",ROFLUMILAST
28518,A,7/30/2014,"HENAN LIHUA PHARMACEUTICAL CO LTD","PREDNISOLONE ACETATE USP"
28523,A,12/02/2014,"MACLEODS PHARMACEUTICALS LTD","ESOMEPRAZOLE MAGNESIUM DIHYDRATE"
28524,A,8/24/2014,"TEVA PHARMACEUTICAL INDUSTRIES LTD",TACROLIMUS
28525,A,3/18/2015,"POLYCARBON INDUSTRIES INC DBA PCI SYNTHESIS","PCI-104500 NON-STERILE BULK DRUG SUBSTANCE"
28527,A,8/01/2014,"OLON SPA","PERHEXILINE MALEATE"
28530,A,7/28/2014,"HUBEI BIOCAUSE HEILEN PHARMACEUTICAL CO LTD","HOMATROPINE METHYLBROMIDE"
28531,A,7/31/2014,"CHONGQING DAXIN PHARMACEUTICAL CO LTD",MEVASTATIN
28532,A,8/01/2014,"BACHEM AMERICAS INC","VASOPRESSIN, USP (BULK)"
28533,A,6/10/2015,"ABRAXIS BIOSCIENCE LLC A WHOLLY OWNED SUB OF CELGENE CORP","IDN 5404 ALBUMIN-BOUND PARTICLES FOR INJECTABLE SUSPENSION (COMPANY CODE: ABI-011)"
28535,A,4/14/2015,"ABRAXIS BIOSCIENCE LLC A WHOLLY OWNED SUB OF CELGENE CORP","RAPAMYCIN PROTEIN BOUND PARTICLE FOR INJECTABLE SUSPENSION (COMPANY CODE: ABI-009)"
28541,A,9/25/2014,"AMPAC FINE CHEMICALS LLC","TAPENTADOL HCI"
28543,A,8/05/2014,"IRVINE SCIENTIFIC SALES CO INC","PRIME-XVT OSTEOGENIC DIFFERENTIATION SFM"
28546,A,7/25/2014,"LUOHE NANJIECUN PHARMACEUTICAL GROUP PHARMACY CO LTD","RIFAMYCIN S"
28547,A,7/08/2014,"CHINA GATEWAY PHARMACEUTICAL DEVELOPMENT CO LTD","MONTELUKAST SODIUM"
28548,A,7/03/2014,"SHOUGUANG FUKANG PHARMACEUTICAL CO LTD","ESOMEPRAZOLE MAGNESIUM TRIHYDRATE"
28550,A,7/30/2014,"CHONGQING HUAPONT PHARMACEUTICAL CO LTD",PARICALCITOL
28551,A,7/30/2014,"CHONGQING HUAPONT PHARMACEUTICAL CO LTD","MOXIFLOXACIN HCL"
28552,A,8/07/2014,"BRIGHTGENE BIOMEDICAL TECHNOLOGY CO LTD","FONDAPARINUX INTERMEDIATE FSC"
28554,A,9/30/2014,"PERRIGO API LTD","FLUTICASONE FUROATE"
28556,A,9/23/2014,"RELIANCE LIFE SCIENCES PVT LTD","SORAFENIB TOSYLATE"
28558,A,8/13/2014,"SEQUENT SCIENTIFIC LTD",ALBENDAZOLE
28561,A,10/16/2014,"AREVIPHARMA GMBH","DIMETHYL FUMARATE"
28562,A,10/09/2014,"EMCURE PHARMACEUTICALS LTD","PEMETREXED DISODIUM HEMIPENTAHYDRATE"
28563,A,9/16/2014,"TOPHARMAN SHANDONG CO LTD",ARIPIPRAZOLE
28565,A,1/28/2015,"SIGNA SA DE CV","ATAZANAVIR SULFATE "
28569,A,11/18/2014,"LUPIN LTD","METAXALONE USP"
28570,A,8/08/2014,"ANHUI WORLDBEST PHARMACEUTICAL CO LTD","L-MENTHOL USP"
28574,A,12/31/2014,"CADILA PHARMACEUTICALS LTD","BUPROPION HYDROCHLORIDE USP "
28580,A,9/25/2014,"AMPAC FINE CHEMICALS LLC",TEMOZOLOMIDE
28581,A,10/01/2014,"ALKEM LABORATORIES LTD","ESOMEPRAZOLE MAGNESIUM DIHYDRATE"
28583,A,8/18/2014,"ZHEJIANG JIANGBEI PHARMACEUTICAL CO LTD","SIMVASTATIN (WITH 0.01% BHA)"
28584,A,8/26/2014,"HANGZHOU ZHONGMEI HUADONG PHARMACEUTICAL CO LTD","FONDAPARINUX SODIUM"
28586,A,6/09/2014,"JINZHOU JIUTAI PHARMACEUTICAL CO LTD",BENZOCAINE
28587,A,2/18/2015,"APAC PHARMACEUTICAL LLC","DYCLONINE HYDROCHLORIDE USP"
28590,A,8/26/2014,"ASYMCHEM LIFE SCIENCE TIANJIN CO LTD","SUMATRIPTAN SUCCINATE"
28596,A,9/05/2014,"ZHEJIANG HISUN PHARMACEUTICAL CO LTD",LINEZOLID
28597,A,10/31/2014,"ZHEJIANG HISUN PHARMACEUTICAL CO LTD","MOXIFLOXACIN HYDROCHLORIDE USP"
28598,A,9/09/2014,"JUBILANT GENERICS LTD","BOSENTAN MONOHYDRATE"
28599,A,9/17/2014,"CADILA HEALTHCARE LTD","PHTHALOYL AMLODIPINE"
28601,A,10/07/2014,"WOCKHARDT BIO AG","PALIPERIDONE USP"
28608,A,10/31/2014,"GLAND PHARMA LTD","DEXMEDETOMIDINE HYDROCHLORIDE USP"
28612,A,11/05/2014,"DIPHARMA FRANCIS SRL","FEXOFENADINE HYDROCHLORIDE USP FORM l"
28613,A,9/03/2014,"YABAO PHARMACEUTICAL GROUP CO LTD",GEFITINIB
28614,A,9/02/2014,"HUBEI BIOCAUSE HEILEN PHARMACEUTICAL CO LTD","HYOSCYAMINE SULFATE"
28615,A,8/29/2014,"NORTH CHINA PHARMACEUTICAL HUASHENG CO LTD","BACITRACIN USP"
28616,A,9/08/2014,"YANCHENG YOUHUA PHARMACEUTICAL AND CHEMICAL TECHNOLOGY CO LTD","POLYMYXIN B SULFATE USP"
28617,A,9/18/2014,"SUN PHARMACEUTICAL INDUSTRIES LTD","EPINEPHRINE USP"
28618,A,10/08/2014,"CONCORD BIOTECH LTD","MUPIROCIN USP "
28621,A,9/09/2014,"SIEGFRIED USA LLC","OPIUM TINCTURE, 2%"
28623,A,7/18/2014,"EASTMAN CHEMICAL CO","EASTMAN™ GLACIAL ACETIC ACID, USP "
28625,A,10/27/2014,"3D IMAGING DRUG DESIGN AND DEVELOPMENT LLC","I-124-MIBG INJECTION"
28626,A,1/02/2015,"BIOCON LTD",DEFERASIROX
28627,A,9/10/2014,"HONOUR LAB LTD","NEBIVOLOL HYDROCHLORIDE"
28628,A,9/08/2014,"ALKALOIDS CORP","DIGOXIN MICRO USP "
28629,A,9/08/2014,"ALKALOIDS CORP","METHSCOPOLAMINE BROMIDE"
28634,A,9/08/2014,"SYN-TECH CHEM AND PHARM CO LTD","RIZATRIPTAN BENZOATE USP"
28635,A,10/14/2014,"MYLAN LABORATORIES LTD","ATAZANAVIR SULFATE (PROCESS-II)"
28638,A,9/15/2014,"ZHUHAI UNITED LABORATORIES CO LTD","POTASSIUM CLAVULANATE DILUTED WITH SILICON DIOXIDE IN THE RATIO 1:1"
28640,A,9/15/2014,"DISHMAN PHARMACEUTICALS AND CHEMICALS LTD","CINACALCET HYDROCHLORIDE"
28642,A,9/16/2014,"SYMED LABS LTD","LINEZOLID (FORM-II)"
28648,A,9/15/2014,"RA CHEM PHARMA LTD","TAMSULOSIN HYDROCHLORIDE USP"
28651,A,11/03/2014,"GLENMARK PHARMACEUTICALS LTD","POTASSIUM CHLORIDE USP"
28654,A,10/10/2014,"CADILA HEALTHCARE LTD","SITAGLIPTIN PHOSPHATE ANHYDROUS"
28655,A,9/03/2014,"JIANGXI HONGYUAN PHARMACEUTICAL CO LTD",PROGESTERONE
28656,A,10/22/2014,"CADILA HEALTHCARE LTD","VILAZODONE HYDROCHLORIDE"
28657,A,10/31/2014,"CADILA HEALTHCARE LTD",ROFLUMILAST
28658,A,9/29/2014,"BEIJING HUIKANG BOYUAN CHEMICAL TECH CO LTD","IVABRADINE HYDROCHLORIDE"
28659,A,10/07/2014,"AMOLI ORGANICS PVT LTD","ROSUVASTATIN CALCIUM"
28660,A,7/11/2015,"ENALTEC LABS PRIVATE LTD","CINACALCET HYDROCHLORIDE"
28661,A,11/23/2015,"ENALTEC LABS PRIVATE LTD","FELBAMATE USP"
28663,A,9/19/2014,"HIKAL LTD","PREGABALIN API"
28664,A,9/25/2014,"LI-COR INC","IRDYE 800CW CARBOXYLATE"
28665,A,9/23/2014,"SHANDONG CHENZHONG BIOPHARMACEUTICAL CO LTD","ENOXAPARIN SODIUM USP"
28674,A,9/24/2014,"ZAKLADY FARMACEUTYCZNE POLPHARMA SA","TICAGRELOR "
28675,A,9/22/2014,"LIAOYUAN SILVER EAGLE PHARMACEUTICAL CO LTD","ETHACRIDINE LACTATE MONOHYDRATE"
28676,A,10/08/2014,"MEDICHEM SA","MED-300006/E (INTERMEDIATE)"
28677,A,10/15/2014,"MANNKIND CORP","AFREZZA® INHALATION POWDER AND AFREZZA® INHALER"
28678,A,9/26/2014,"NOF CORP","ALPHA-(3'-{[1,2-DI(MYRISTYLOXY)PROPANOXY]CARBONYLAMINO}PROPYL)-OMEGA-METHOXY, POLYOXYETHYLENE"
28680,A,9/25/2014,"QINHUANGDAO ZIZHU PHARMACEUTICAL CO LTD","DIENOGEST (MICRONIZED)"
28689,A,10/01/2014,"EMCURE PHARMACEUTICALS LTD","(S)- METHYL-3- (4-BIS(2-HYDROXYETHYL) AMINO) PHENYL) -2 - (TERT- BUTOXYCARBONYLAMINO) PROPANOATE"
28697,A,9/22/2014,"PERLMAN SCOTT MD MS","[18] FLT, 3'-DEOXY-3'-[18F] FLUOROTHYMIDINE"
28699,A,9/28/2014,"ASYMCHEM LIFE SCIENCE TIANJIN CO LTD","SALMETEROL XINAFOATE"
28700,A,9/28/2014,"YABAO PHARMACEUTICAL GROUP CO LTD","DIMETHYL FUMARATE"
28701,A,10/08/2014,"INDUSTRIALE CHIMICA SRL","ABIRATERONE ACETATE USP"
28702,A,10/10/2014,"INTAS PHARMACEUTICALS LTD","VILAZODONE HYDROCHLORIDE (AMORPHOUS) "
28704,A,11/06/2014,"KYOWA HAKKO KIRIN CO LTD","KOMEGA-6356 DRUG SUBSTANCE"
28721,A,10/14/2014,"AUROBINDO PHARMA LTD","DOLUTEGRAVIR SODIUM"
28723,A,9/30/2014,"EDMOND PHARMA SRL","LURASIDONE HYDROCHLORIDE"
28726,A,10/07/2014,"PEROXYCHEM LLC","HYDROGEN PEROXIDE 50% API GRADE"
28727,A,10/02/2014,"BIOVECTRA INC","ENCLOMIPHENE CITRATE"
28729,A,12/11/2014,"PFIZER INC","PRASTERONE ACETATE"
28731,A,9/25/2014,"ANHUI WORLDBEST PHARMACEUTICAL CO LTD","PEPPERMINT OIL USP/NF"
28732,A,10/07/2014,"SANOFI CHIMIE","AVANAFIL "
28734,A,10/06/2014,"RA CHEM PHARMA LTD","TOLCAPONE USP"
28735,A,8/10/2014,"CHONGQING HUAPONT PHARMACEUTICAL CO LTD","NAFTIFINE HYDROCHLORIDE"
28736,A,9/30/2014,"LINHAI TIANYU PHARMACEUTICAL CO LTD","MONTELUKAST BACKONE DIOL"
28737,A,10/08/2014,"YABAO PHARMACEUTICAL GROUP CO LTD","IRON SUCROSE"
28739,A,11/05/2014,"BIOPHORE INDIA PHARMACEUTICALS PVT LTD","DIATRIZOATE SODIUM"
28740,A,10/31/2014,"BIOPHORE INDIA PHARMACEUTICALS PVT LTD","DIATRIZOATE MEGLUMINE"
28741,A,10/13/2014,"ECKERT AND ZIEGLER RADIOPHARMA GMBH",68GE/68GA-GENERATOR
28742,A,12/12/2014,"PFIZER INC","CABERGOLINE USP"
28746,A,10/08/2014,"SIEGFRIED PHARMACHEMIKALIEN MINDEN GMBH",ALITRETINOIN
28747,A,12/22/2014,"INDENA SPA","INGENOL MEBUTATE"
28748,A,10/31/2014,"MYLAN LABORATORIES LTD",LINAGLIPTIN
28749,A,12/10/2014,"MYLAN LABORATORIES LTD","EPINEPHRINE USP"
28750,A,12/13/2014,"MYLAN LABORATORIES LTD","EPINEPHRINE BITARTRATE USP"
28753,A,1/19/2017,VALDEPHARM,"STERILE RISPERIDONE "
28754,A,10/15/2014,"TRANSO PHARM HANDELS GMBH","PHENYLEPHRINE HYDROCHLORIDE "
28756,A,10/29/2014,"INTAS PHARMACEUTICALS LTD","DOCETAXEL ANHYDROUS USP (PROCESS II)"
28758,A,12/08/2014,"JIANGSU HANSOH PHARMACEUTICAL GROUP CO LTD","PEMETREXED DIACID, NON-STERILE, BULK DRUG SUBSTANCE"
28762,A,11/30/2014,"ASPEN GLOBAL INC","FONDAPARINUX SODIUM USP"
28763,A,12/22/2014,"SIGNA SA DE CV","PAROXETINE HYDROCHLORIDE HEMIHYDRATE USP"
28764,A,10/30/2014,"TEVA PHARMACEUTICAL INDUSTRIES LTD","ABIRATERONE ACETATE"
28765,A,3/19/2015,"MACLEODS PHARMACEUTICALS LTD","ATORVASTATIN CALCIUM TRIHYDRATE"
28766,A,11/19/2014,"ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD",LINAGLIPTIN
28767,A,1/30/2015,"DR REDDYS LABORATORIES LTD",LINAGLIPTIN
28769,A,11/11/2014,"TEVA PHARMACEUTICAL INDUSTRIES LTD",LINAGLIPTIN
28770,A,10/16/2014,"OLON SPA","TOREMIFENE CITRATE"
28771,A,10/21/2014,"JIANGXI FUSHINE PHARMACEUTICAL CO LTD","BETA-METHYL VINYL PHOSPHATE"
28777,A,10/21/2014,"HETERO DRUGS LTD","ESOMEPRAZOLE MAGNESIUM DIHYDRATE (PROCESS-III)"
28779,A,8/15/2014,"ENZYMEKING BIOTECHNOLOGY CO LTD",CHYMOTRYPSIN
28780,A,8/15/2014,"ENZYMEKING BIOTECHNOLOGY CO LTD",TRYPSIN
28781,A,11/18/2014,"MEDICHEM MANUFACTURING MALTA LTD",MED-200028/M
28783,A,10/27/2014,"NCM USA LLC","ZIRCONIUM-89 (ZR-89) OXALATE SOLUTION"
28784,A,10/28/2014,"HARMAN FINOCHEM LTD","LIDOCAINE HCI USP"
28785,A,12/22/2014,"HEC PHARM CO LTD","LINAGLIPTIN, NON-STERILE BULK DRUG SUBSTANCE"
28786,A,1/08/2015,"HEC PHARM CO LTD","RIVAROXABAN, NON-STERILE BULK DRUG SUBSTANCE"
28787,A,1/30/2015,"HEC PHARM CO LTD","TICAGRELOR NON-STERILE BULK DRUG SUBSTANCE"
28789,A,10/30/2014,"OPTIMUS DRUGS PRIVATE LTD","17-IODO-ANDROSTA-5,16-DIENE-3BETA-OL (ABIRATERONE INTERMEDIATE)
"
28790,A,10/30/2014,"OPTIMUS DRUGS PRIVATE LTD","4-(4-AMINOPHENYL) MORPHOLIN-3-ONE [RIVAROXABAN INTERMEDIATE, (PROCESS-1)]"
28792,A,11/12/2014,"MERCK SHARP AND DOHME CORP","MK -2048A DRUG PRODUCT"
28793,A,11/12/2014,"MERCK SHARP AND DOHME CORP","MK-4176 DRUG SUBSTANCE"
28797,A,11/24/2014,"MACLEODS PHARMACEUTICALS LTD",LACOSAMIDE
28798,A,1/21/2015,"LUPIN LTD",RIVAROXABAN
28799,A,11/12/2014,"MERCK SHARP AND DOHME CORP","MK-2048 DRUG SUBSTANCE"
28800,A,11/12/2014,"CRYSTAL PHARMA SAU","MEDROXYPROGESTERONE ACETATE STERILE MICRONIZED"
28801,A,11/05/2014,"HETERO LABS LTD","CISPLATIN USP"
28802,A,12/31/2014,"AURONEXT PHARMA PRIVATE LTD","IMIPENEM USP (STERILE)"
28803,A,11/26/2014,"BRIGHTGENE BIOMEDICAL TECHNOLOGY CO LTD","FIDAXOMICIN CRYSTALLINE"
28804,A,12/19/2014,"CODY LABORATORIES INC","HYDROMORPHONE HYDROCHLORIDE USP"
28805,A,10/15/2014,"WATERSTONE PHARMACEUTICALS HUBEI CO LTD",DEFERASIROX
28806,A,11/05/2014,"OPTIMUS DRUGS PRIVATE LTD","3-DIETHYLBORANYL-PYRIDINE (ABIRATERONE INTERMEDIATE)"
28807,A,11/06/2014,"SYMED LABS LTD",RIVAROXABAN
28808,A,11/06/2014,"ASPEN OSS BV","LEUPRORELIN HIGHLY PURIFIED "
28812,A,12/10/2014,"MYLAN LABORATORIES LTD",TICAGRELOR
28813,A,12/22/2014,"MYLAN LABORATORIES LTD",ETRAVIRINE
28815,A,11/08/2014,"JINGMEN SHUAIBANG CHEMICAL SCIENCE AND TECHNOLOGY CO LTD","TENOFOVIR DISOPROXIL FUMARATE (DRUG SUBSTANCE)"
28816,A,3/06/2015,"TARO PHARMACEUTICAL INDUSTRIES LTD","RIVAROXABAN MICRONIZED"
28818,A,12/15/2014,"LAURUS LABS LTD","ABACAVIR SULFATE, USP "
28820,A,1/27/2015,"CERBIOS PHARMA SA","TIOTROPIUM BROMIDE"
28821,A,12/19/2014,"ZHEJIANG YONGTAI PHARMACEUTICAL CO LTD","METOPROLOL TARTRATE USP"
28823,A,11/26/2014,"BACHEM AG",TETRACOSACTIDE
28824,A,3/31/2016,"IPCA LABORATORIES LTD","VALSARTAN USP "
28825,A,11/12/2014,"VASUDHA PHARMA CHEM LTD",DESLORATADINE
28828,A,11/17/2014,"LIFECORE BIOMEDICAL LLC","SODIUM HYALURONATE, LSA-9850025 PROCESS"
28831,A,12/27/2014,"MYLAN LABORATORIES LTD","DIMETHYL FUMARATE"
28833,A,12/05/2014,"MEDICHEM SA","QUETIAPINE FUMARATE"
28834,A,2/11/2015,"INDOCO REMEDIES LTD","FEBUXOSTAT (FORM G)"
28837,A,10/31/2014,"HEC PHARM CO LTD","AZITHROMYCIN DIHYDRATE NON-STERILE DRUG SUBSTANCE BULK FORM"
28838,A,11/17/2014,"ASYMCHEM LIFE SCIENCE TIANJIN CO LTD",REPAGLINIDE
28840,A,12/03/2015,"CEDARBURG PHARMACEUTICALS","BENZTROPINE MESYLATE "
28841,A,1/22/2015,"BIOCON LTD",TEMSIROLIMUS
28842,A,12/20/2014,"MSN LABORATORIES PRIVATE LTD","ELTROMBOPAG OLAMINE [ROUTE CODE - ""EA""]"
28843,A,11/26/2014,"CRYSTAL PHARMA SAU",ALTRENOGEST
28845,A,11/17/2014,"JOST CHEMICAL CO","POTASSIUM GLUCONATE ANHYDROUS"
28860,A,1/07/2015,"UNICHEM LABORATORIES LTD","PRASUGREL HYDROCHLORIDE "
28862,A,12/02/2014,"EMCURE PHARMACEUTICALS LTD","SM ARG-I "
28864,A,1/16/2015,"GLENMARK PHARMACEUTICALS LTD",RIVAROXABAN
28865,A,7/07/2016,"DR REDDYS LABORATORIES LTD","IRON SUCROSE "
28866,A,12/05/2014,"VIWIT PHARMACEUTICAL CO LTD",APREPITANT
28867,A,3/10/2015,"GLENMARK PHARMACEUTICALS LTD",IVACAFTOR
28868,A,3/27/2015,"GLENMARK PHARMACEUTICALS LTD","ARFORMOTEROL TARTRATE"
28869,A,1/31/2015,"MSN ORGANICS PRIVATE LTD","DIMETHYL FUMARATE [ROUTE CODE ""DV""]"
28870,A,11/19/2014,"ISOCHEM SAS","SOLIFENACIN SUCCINATE"
28873,A,11/26/2014,"NOF CORP","POLY(OXY-1,2-ETHANEDIYL), ALPHA-METHYL -OMEGA-{6-[(2,5-DIOXO-1 -PYRROLIDINYL)OXY]-6-OXOHEXYLOXY} 
"
28877,A,1/07/2015,"HONOUR LAB LTD",LINAGLIPTIN
28878,A,1/07/2015,"HONOUR LAB LTD","LINAGLIPTIN PREMIX "
28879,A,1/07/2015,"HONOUR LAB LTD",TICAGRELOR
28880,A,1/21/2015,"TEVA PHARMACEUTICAL INDUSTRIES LTD",TICAGRELOR
28882,A,12/03/2014,"KREITCHMAN PET CENTER","PBR28 C11 INJECTION"
28886,A,2/16/2015,"ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD","AMLODIPINE BESYLATE USP"
28887,A,1/14/2015,"THINQ PHARMA-CRO LTD","CETIRIZINE HYDROCHLORIDE USP"
28888,A,1/12/2015,"GLENMARK PHARMACEUTICALS LTD","ROSUVASTATIN CALCIUM (D122 PROCESS)"
28889,A,12/30/2014,"CTD HOLDINGS INC","TRAPPSOL™ CYCLO®"
28896,A,12/22/2014,"SUN PHARMACEUTICAL INDUSTRIES LTD","ACITRETIN USP"
28897,A,4/02/2015,"TEVA PHARMACEUTICAL INDUSTRIES LTD",FEBUXOSTAT
28898,A,3/16/2016,"ALEMBIC PHARMACEUTICALS LTD","TERIFLUNOMIDE "
28899,A,1/09/2015,"ALEMBIC PHARMACEUTICALS LTD",TICAGRELOR
28900,A,12/31/2014,"ALEMBIC PHARMACEUTICALS LTD","VARDENAFIL HYDROCHLORIDE USP"
28901,A,12/10/2014,"MEDICHEM MANUFACTURING MALTA LTD","BEPOTASTINE BESILATE "
28905,A,12/23/2014,"RAKS PHARMA PVT LTD","ABIRATERONE ACETATE USP"
28906,A,2/03/2015,"RAKS PHARMA PVT LTD",RIFAXIMIN
28907,A,1/07/2015,"CONCORD BIOTECH LTD","MUPIROCIN CALCIUM USP"
28908,A,5/15/2015,"SINTENOVO SA DE CV","SITAGLIPTIN PHOSPHATE MONOHYDRATE"
28912,A,12/05/2014,"LONZA AG","BIVALIRUDIN (TM-001-2G) "
28913,A,12/10/2014,"HETERO LABS LTD","OXALIPLATIN USP"
28914,A,1/16/2015,"CATALENT PHARMA SOLUTIONS LLC","SOFTGELS [OET-10275191]"
28915,A,2/06/2015,"LEK PHARMACEUTICALS DD","TICAGRELOR "
28916,A,12/23/2014,"MEDICHEM MANUFACTURING MALTA LTD","RIVAROXABAN "
28919,A,12/24/2014,"BEIJING HUIKANG BOYUAN CHEMICAL TECH CO LTD",SOFOSBUVIR
28920,A,12/15/2014,"CHEMO IBERICA SA",LEVOFLOXACIN
28922,A,12/31/2014,"APOTEX PHARMACHEM INDIA PVT LTD",RIVAROXABAN
28923,A,12/25/2014,"ZHEJIANG HISUN PHARMACEUTICAL CO LTD",TICAGRELOR
28925,A,12/31/2014,"UNICHEM LABORATORIES LTD","WARFARIN SODIUM USP"
28926,A,12/10/2014,"TOMITA PHARMACEUTICAL CO LTD","USP MAGNESIUM HYDROXIDE"
28927,A,12/10/2014,"MEGAFINE PHARMA P LTD","RIVAROXABAN (NON-STERILE DRUG SUBSTANCE)"
28928,A,2/27/2015,"CIPLA LTD","BECLOMETHASONE DIPROPIONATE USP (ANHYDROUS)"
28929,A,1/02/2015,"AURONEXT PHARMA PRIVATE LTD","CILASTATIN SODIUM USP (STERILE)"
28930,A,1/03/2015,"SHILPA MEDICARE LTD","MELPHALAN HYDROCHLORIDE (MPH)"
28931,A,1/07/2015,"MSN LABORATORIES PRIVATE LTD","NAFTIFINE HYDROCHLORIDE USP [ROUTE CODE ""NT""]"
28932,A,2/04/2015,"MSN LABORATORIES PRIVATE LTD","ALCAFTADINE [ROUTE CODE ""FA""]"
28933,A,9/25/2015,"BIOCON LTD","BRINZOLAMIDE USP"
28934,A,1/05/2015,"UNICHEM LABORATORIES LTD","NATEGLINIDE (FORM-H) USP"
28936,A,12/20/2014,"DIVIS LABORATORIES LTD","VALACYCLOVIR HYDROCHLORIDE USP (HYDROUS FORM)"
28938,A,1/27/2015,"MSN ORGANICS PRIVATE LTD","TICAGRELOR (FORM-II) [ROUTE CODE ""TG2""]"
28939,A,12/25/2014,"SCINOPHARM TAIWAN LTD",REGADENOSON
28940,A,1/06/2015,"AUROBINDO PHARMA LTD",LINAGLIPTIN
28942,A,12/04/2014,"WATERSTONE PHARMACEUTICALS HUBEI CO LTD",EZETIMIBE
28944,A,12/22/2014,"HETERO LABS LTD",BEXAROTENE
28945,A,12/19/2014,"PATHEON AUSTRIA GMBH AND CO KG","COLESEVELAM HYDROCHLORIDE"
28947,A,1/20/2015,PCAS,"CLOMIPHENE CITRATE "
28948,A,12/22/2014,"IRVINE SCIENTIFIC SALES CO","C36 (GLUCOSE 5G/L) POWDER"
28949,A,12/22/2014,"IRVINE SCIENTIFIC SALES CO","PRIME-XV® ADIPOGENIC DIFFERENTIATION SFM"
28950,A,12/08/2014,"CHENGZHI LIFE SCIENCE CO LTD",D-RIBOSE
28951,A,1/12/2015,"APICORE US LLC","DIFLUNISAL, USP"
28952,A,12/23/2014,"ACEBRIGHT INDIA PHARMA PRIVATE LTD","ATAZANAVIR SULPHATE [DRUG SUBSTANCE (NON-STERILE)]"
28955,A,1/09/2015,"BIOPHORE INDIA PHARMACEUTICALS PVT LTD","DIMETHYL FUMARATE"
28956,A,5/25/2015,"BIOPHORE INDIA PHARMACEUTICALS PVT LTD",CHLORAMBUCIL
28957,A,1/20/2015,"SUN PHARMACEUTICAL INDUSTRIES LTD",BORTEZOMIB
28958,A,2/06/2015,"SUN PHARMACEUTICAL INDUSTRIES LTD","HYDROXYPROGESTERONE CAPROATE USP"
